"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"3718",2014-03-06,0,0,0,0,0,0,0,0,0,-0.0160222743499741,0.860345599792133,-0.616348967498414,0.310257911649257,36.849,1.31740761903307,1.83205612591776,11.522,5.401,26.74,30.17116,31.1649,-0.610066988197947,0.68204202067831,50,0,0,75
"3719",2014-03-07,0,0,0,0,0,0,0,0,0,-0.22710068539761,1.10761621748901,0.386267074154479,-0.632789022815167,36.294,2.01396776695953,3.03062646552689,12.391,3.277,28.73796,29.90256,30.7118,-0.610066988197947,1.29755606561549,50,0,0,75
"3720",2014-03-08,0,0,0,0,0,0,0,0,0,-0.22710068539761,1.10761621748901,0.386267074154479,-0.632789022815167,35.661,1.78572691025983,2.87381600191475,12.142,5.371,28.73796,29.90256,30.7118,-0.610066988197947,1.29755606561549,50,0,0,75
"3721",2014-03-09,0,0,0,0,0,0,0,0,0,-0.22710068539761,1.10761621748901,0.386267074154479,-0.632789022815167,35.102,1.57434228773976,2.17352839300133,12.307,0.882,28.73796,29.90256,30.7118,-0.610066988197947,1.29755606561549,50,0,0,75
"3722",2014-03-10,0,0,0,0,0,0,0,0,0,-0.22710068539761,1.10761621748901,0.386267074154479,-0.632789022815167,34.526,1.52695403313598,1.7867042108565,10.567,1.278,28.73796,29.90256,30.7118,-0.889134302134617,1.29755606561549,50,0,0,75
"3723",2014-03-11,0,0,0,0,0,0,0,0,0,-0.22710068539761,1.10761621748901,0.386267074154479,-0.632789022815167,33.826,1.57454152106717,2.09699102625877,10.885,1.776,28.73796,29.90256,30.7118,-0.889134302134617,1.29755606561549,50,0,0,75
"3724",2014-03-12,0,0,0,0,0,0,0,0,0,-0.160258707820279,0.7399537940161,-0.0553741839898514,-0.537590945401137,32.748,2.21632666105952,2.35991849170997,11.443,0.003,26.76672,27.71368,28.3956,-0.889134302134617,0.240204233839613,59,0,0,75
"3725",2014-03-13,0,0,0,0,0,0,0,0,0,-0.160258707820279,0.7399537940161,-0.0553741839898514,-0.537590945401137,31.701,2.15931355367973,2.12705810524086,11.102,0,26.76672,27.71368,28.3956,-0.889134302134617,0.240204233839613,59,0,0,75
"3726",2014-03-14,0,0,0,0,0,0,0,0,0,-0.160258707820279,0.7399537940161,-0.0553741839898514,-0.537590945401137,30.95,1.68413687137459,1.98427200625399,12.222,0,26.76672,27.71368,28.3956,-0.889134302134617,0.240204233839613,59,0,0,75
"3727",2014-03-15,0,0,0,0,0,0,0,0,0,-0.160258707820279,0.7399537940161,-0.0553741839898514,-0.537590945401137,30.313,1.594183436975,1.71516557113798,11.504,1.053,26.76672,27.71368,28.3956,-0.889134302134617,0.240204233839613,59,0,0,75
"3728",2014-03-16,0,0,0,0,0,0,0,0,0,-0.160258707820279,0.7399537940161,-0.0553741839898514,-0.537590945401137,29.842,1.89747358219006,1.77637249825104,11.031,0,26.76672,27.71368,28.3956,-0.889134302134617,0.240204233839613,59,0,0,75
