"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"1",1996-01-01,0,0,0,0,0,1,0,0,0,0.653086289033168,0.0939871265191667,0.110657280902647,-0.650242414736992,28.6686103155657,0.45213738762548,1.26024242547731,11.5440958743919,1.12166043575999,25.4726530950373,26.598357331441,26.9322434591651,0,1.17894292868289,40,0,0,23
"2",1996-01-02,0,0,0,0,0,1,0,0,0,0.653086289033168,0.0939871265191667,0.110657280902647,-0.650242414736992,28.6811080499487,0.346572980339025,1.15709207479891,11.2771596127649,5.43456621937614,25.4726530950373,26.598357331441,26.9322434591651,0,1.17894292868289,40,0,0,23
"3",1996-01-03,0,0,0,0,0,1,0,0,0,0.653086289033168,0.0939871265191667,0.110657280902647,-0.650242414736992,27.584200158263,0.854465263415786,2.06444257414836,9.79937975510372,0.0124231563618342,25.4726530950373,26.598357331441,26.9322434591651,0,1.17894292868289,40,0,0,23
"4",1996-01-04,0,0,0,0,0,1,0,0,0,0.653086289033168,0.0939871265191667,0.110657280902647,-0.650242414736992,26.6227171546565,0.843999939637191,2.46665748682581,6.19308791110015,0,25.4726530950373,26.598357331441,26.9322434591651,0,1.17894292868289,40,0,0,23
"5",1996-01-05,0,0,0,0,0,1,0,0,0,0.653086289033168,0.0939871265191667,0.110657280902647,-0.650242414736992,26.0801188888561,0.483657643844153,1.63233141312362,5.98267115601589,0.0197641123938263,25.4726530950373,26.598357331441,26.9322434591651,0,1.17894292868289,40,0,0,23
"6",1996-01-06,0,0,0,0,0,1,0,0,0,-0.636704009447934,0.0189282528474493,1.04242756762255,0.145360203124317,26.1769552667277,0.343262225076142,1.88011427554616,8.28967742754607,2.43117405408224,25.2874497779561,25.8738824949415,26.1450469732474,0,1.17894292868289,40,0,0,23
"7",1996-01-07,0,0,0,0,0,1,0,0,0,-0.636704009447934,0.0189282528474493,1.04242756762255,0.145360203124317,26.4775468422382,0.369370755023361,1.00017186046901,11.3106924149707,4.71571721716647,25.2874497779561,25.8738824949415,26.1450469732474,0,1.17894292868289,40,0,0,23
"8",1996-01-08,0,0,0,0,0,1,0,0,0,-0.636704009447934,0.0189282528474493,1.04242756762255,0.145360203124317,29.6460454835083,0.21026408281381,1.08618577856934,12.2307289410279,20.4404214969768,25.2874497779561,25.8738824949415,26.1450469732474,0,1.17894292868289,66,0,0,23
"9",1996-01-09,0,0,0,0,0,1,0,0,0,-0.636704009447934,0.0189282528474493,1.04242756762255,0.145360203124317,27.9115284599144,0.702344389169867,1.25728214821885,11.3938297673322,0.0685155896319309,25.2874497779561,25.8738824949415,26.1450469732474,0,1.17894292868289,66,0,0,23
"10",1996-01-10,0,0,0,0,0,1,0,0,0,-0.636704009447934,0.0189282528474493,1.04242756762255,0.145360203124317,27.1392808142252,0.639606549638815,1.32533024571612,12.2616094311949,0.246957290101886,25.2874497779561,25.8738824949415,26.1450469732474,0,1.17894292868289,66,0,0,23
"11",1996-01-11,0,0,0,0,0,1,0,0,0,0.863895266239681,-0.450755851380656,1.08235781307346,-0.736428209162867,26.5527298421113,0.521530852517379,1.07569721000704,12.0653699154613,0.0109173192270658,25.0466013375323,25.7955434521324,26.0809276762424,0,1.17894292868289,66,0,0,23
