"Station","Date","Mo.and.Lettenmeier","Ford.and.Labosier","Pendergrass.et.al.","Noguera.et.al.","Christian.et.al.","Osman.et.al.","Alencar.et.al.","Multi.criteria","Duration","Latitude","Longitude","IGPB","IGPB2","color1","Ford.and.Labosier_mod"
"BE-Lon","2004-08-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2004-09-30","0","0","0","0","1","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2004-10-31","0","1","0","0","1","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2004-11-30","0","1","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2004-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-03-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-04-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-05-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-06-30","1","0","1","1","0","1","1","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-07-31","0","1","1","0","0","1","1","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2005-08-31","1","1","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2005-09-30","1","1","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2005-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-03-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-04-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-05-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-06-30","0","0","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-07-31","0","0","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-08-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-09-30","0","0","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2006-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-03-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-04-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-05-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-06-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-07-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-08-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-09-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2007-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-02-29","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-03-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-04-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-05-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-06-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-07-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-08-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-09-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2008-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-03-31","0","0","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-04-30","0","0","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-05-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-06-30","1","0","1","0","1","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-07-31","1","1","1","0","1","1","1","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2009-08-31","0","1","0","0","1","1","1","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2009-09-30","0","1","0","0","1","1","1","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2009-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-03-31","0","0","1","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-04-30","0","1","0","0","0","1","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2010-05-31","0","1","0","0","0","0","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2010-06-30","1","0","0","0","0","1","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-07-31","0","1","0","0","0","1","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2010-08-31","0","1","0","0","0","1","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
"BE-Lon","2010-09-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-10-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-11-30","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2010-12-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2011-01-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2011-02-28","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2011-03-31","0","0","0","0","0","0","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2011-04-30","1","0","0","0","1","1","0","0",11,50.55,4.75,"CRO","Croplands","#D73027","0"
"BE-Lon","2011-05-31","1","1","0","0","1","1","0","1",11,50.55,4.75,"CRO","Croplands","#D73027","1"
