"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","Ford  Modified","Multi-criteria","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0","score_perc"
"2809",2011-09-09,0,0,0,0,1,0,1,0,0,1.55858436009312,0.891327360228251,1.12365311102462,-0.11447241109898,16.619,4.75097448648571,3.8054265729402,17.606,1.292,14.4448,16.3692,17.0104,-1.0899015976446,-0.578576069624412,59,0.310021547613592,1.49448517305306,70
"2810",2011-09-10,0,0,0,0,1,0,1,0,0,1.55858436009312,0.891327360228251,1.12365311102462,-0.11447241109898,16.367,5.26474265328553,3.72217348920631,20.477,0,14.4448,16.3692,17.0104,-0.321759398254867,-0.578576069624412,94,-0.20000295578579,2.24164185899515,92
"2811",2011-09-11,0,0,0,0,1,0,1,0,0,1.55858436009312,0.891327360228251,1.12365311102462,-0.11447241109898,16.08,4.77797855580203,4.14502378506157,19.34,11.19,14.4448,16.3692,17.0104,-0.321759398254867,-0.578576069624412,94,-0.20000295578579,2.24164185899515,92
"2812",2011-09-12,0,0,0,0,1,0,1,0,0,1.55858436009312,0.891327360228251,1.12365311102462,-0.11447241109898,15.765,5.05350815033424,3.7688405028507,15.885,1.317,14.4448,16.3692,17.0104,-0.321759398254867,-0.578576069624412,94,-0.20000295578579,2.24164185899515,92
"2813",2011-09-13,1,0,0,0,1,0,1,0,0,1.60165419535666,0.980315452339548,1.02342625747888,-0.631004104896325,15.6,4.65461200106907,3.32390510455851,16.787,0,15.3026,16.1932,16.3506,-0.321759398254867,-1.58533701566993,94,-0.20000295578579,2.24164185899515,92
"2814",2011-09-14,1,0,0,0,1,0,1,0,0,1.60165419535666,0.980315452339548,1.02342625747888,-0.631004104896325,16.521,2.85254844638842,4.13191079258806,13.631,5.662,15.3026,16.1932,16.3506,-0.321759398254867,-1.58533701566993,94,-0.20000295578579,2.24164185899515,92
"2815",2011-09-15,1,0,0,0,1,0,1,0,0,1.60165419535666,0.980315452339548,1.02342625747888,-0.631004104896325,16.159,3.4068705103462,2.27730283051177,13.505,0.053,15.3026,16.1932,16.3506,-0.321759398254867,-1.58533701566993,94,-0.20000295578579,2.24164185899515,92
"2816",2011-09-16,1,0,0,0,1,0,1,0,0,1.60165419535666,0.980315452339548,1.02342625747888,-0.631004104896325,15.951,4.17489590954118,3.5959746381076,15.348,0.079,15.3026,16.1932,16.3506,-0.321759398254867,-1.58533701566993,94,-0.20000295578579,2.24164185899515,92
"2817",2011-09-17,1,0,0,0,1,0,0,0,0,1.60165419535666,0.980315452339548,1.02342625747888,-0.631004104896325,16.735,1.96619375914999,2.58383875106057,15.373,5.038,15.3026,16.1932,16.3506,0.373978869320804,-1.58533701566993,50,1.06205942736507,1.75727219034031,23
"2818",2011-09-18,0,0,0,0,1,0,0,0,0,-0.262562714322622,0.100511796452919,-0.549677025537977,1.24302592490276,19.239,0.618741643013632,2.35511284496743,8.227,25.779,17.8144,18.6246,18.898,0.373978869320804,-0.218583485989805,50,1.06205942736507,1.75727219034031,23
