"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","Alencar et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi","an_slope_prec","an_slope_et0"
"1",1996-01-01,0,0,0,0,0,1,0,0.117737661171111,-0.754374279263429,-0.535334751592084,-0.885054746364481,40.0084458325089,0.129593540763679,0.197668111306621,0.639388853367144,0.185441280320006,37.3037514296836,38.5444688810615,38.8851828034723,0,0.175617458399342,35,0,0
"2",1996-01-02,0,0,0,0,0,1,0,0.117737661171111,-0.754374279263429,-0.535334751592084,-0.885054746364481,38.6977384023081,0.263676979685149,0.300335932437249,-0.840244941053029,0.000939736217848118,37.3037514296836,38.5444688810615,38.8851828034723,0,0.175617458399342,35,0,0
"3",1996-01-03,0,0,0,0,0,1,0,0.117737661171111,-0.754374279263429,-0.535334751592084,-0.885054746364481,38.0389660647213,0.0909370628892368,0.0817216990021532,-0.561070584730558,0.243704925825951,37.3037514296836,38.5444688810615,38.8851828034723,0,0.175617458399342,35,0,0
"4",1996-01-04,0,0,0,0,0,1,0,0.117737661171111,-0.754374279263429,-0.535334751592084,-0.885054746364481,37.6811081949985,0.35566428970305,0.273321916645592,-1.5308528689774,0.00856204109586601,37.3037514296836,38.5444688810615,38.8851828034723,0,0.175617458399342,35,0,0
"5",1996-01-05,0,0,0,0,0,1,0,0.117737661171111,-0.754374279263429,-0.535334751592084,-0.885054746364481,37.4262379045347,0.494188031194107,0.225900349615551,-3.43447321335771,1.04083408558608e-14,37.3037514296836,38.5444688810615,38.8851828034723,0,0.175617458399342,35,0,0
"6",1996-01-06,0,0,0,0,0,1,0,-1.2613709674966,-0.485962726613319,0.012843591594999,-0.218496031371353,37.6062012565322,0.174091640260892,0.252248805869125,-4.13676058764114,1.13405278465963,36.8765417062812,38.7751980672559,39.0411744196945,0,0.438355659828629,35,0,0
"7",1996-01-07,0,0,0,0,0,1,0,-1.2613709674966,-0.485962726613319,0.012843591594999,-0.218496031371353,40.4073271720687,0.0409566000341967,0.17567772190849,3.26571133838151,4.08879228381238,36.8765417062812,38.7751980672559,39.0411744196945,0,0.438355659828629,35,0,0
"8",1996-01-08,0,0,0,0,0,1,0,-1.2613709674966,-0.485962726613319,0.012843591594999,-0.218496031371353,38.9753406400802,0.0970453810039479,0.152978960921022,4.0732431420446,0.013991628132262,36.8765417062812,38.7751980672559,39.0411744196945,0,0.438355659828629,14,0,0
"9",1996-01-09,0,0,0,0,0,1,0,-1.2613709674966,-0.485962726613319,0.012843591594999,-0.218496031371353,38.9993088420146,0.232291136311072,0.48393895526829,3.57778873333881,2.52183434813547,36.8765417062812,38.7751980672559,39.0411744196945,0,0.438355659828629,14,0,0
"10",1996-01-10,0,0,0,0,0,1,0,-1.2613709674966,-0.485962726613319,0.012843591594999,-0.218496031371353,38.9059085435294,0.305653475766111,0.39952087703573,3.71140677617249,0.00793555028397392,36.8765417062812,38.7751980672559,39.0411744196945,0,0.438355659828629,14,0,0
