"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi"
"1",2004-01-01,0,0,0,0,0,0,1.99325513868433,2.96821318004652,-0.906743788729446,-0.485806425838814,33.024,0.648707974116942,1.56062926511497,1.025,1.831,29.36192,36.40448,38.5107,0,1.2632398458764,94
"2",2004-01-02,0,0,0,0,0,0,1.99325513868433,2.96821318004652,-0.906743788729446,-0.485806425838814,33.024,0.962130063721445,1.7896468616458,-0.064,0.112,29.36192,36.40448,38.5107,0,1.2632398458764,94
"3",2004-01-03,0,0,0,0,0,0,1.99325513868433,2.96821318004652,-0.906743788729446,-0.485806425838814,33.024,0.605839022003453,1.44911362681224,-3.673,0,29.36192,36.40448,38.5107,0,1.2632398458764,94
"4",2004-01-04,0,0,0,0,0,0,1.99325513868433,2.96821318004652,-0.906743788729446,-0.485806425838814,33.024,0.562520643034966,1.56109251689393,1.334,1.561,29.36192,36.40448,38.5107,0,1.2632398458764,94
"5",2004-01-05,0,0,0,0,0,0,1.99325513868433,2.96821318004652,-0.906743788729446,-0.485806425838814,33.024,0.923496764595731,1.79602675946039,3.616,1.661,29.36192,36.40448,38.5107,0,1.2632398458764,94
"6",2004-01-06,0,0,0,0,0,0,1.80869306873766,2.92483301599502,0.11024005738894,0.532106668201818,33.024,0.677657264897504,1.46305160408068,6.279,3.366,28.16324,35.10512,38.233,0,1.2632398458764,94
"7",2004-01-07,0,0,0,0,0,0,1.80869306873766,2.92483301599502,0.11024005738894,0.532106668201818,33.024,0.705612927962685,1.56774649117354,5.649,0.536,28.16324,35.10512,38.233,0,1.2632398458764,94
"8",2004-01-08,0,0,0,0,0,0,1.80869306873766,2.92483301599502,0.11024005738894,0.532106668201818,33.024,0.985242836497868,1.79800053313602,4.722,4.447,28.16324,35.10512,38.233,0,1.2632398458764,94
"9",2004-01-09,0,0,0,0,0,0,1.80869306873766,2.92483301599502,0.11024005738894,0.532106668201818,33.024,0.79017649929274,1.46330756434116,6.451,3.138,28.16324,35.10512,38.233,0,1.2632398458764,94
"10",2004-01-10,0,0,0,0,0,0,1.80869306873766,2.92483301599502,0.11024005738894,0.532106668201818,33.024,0.672071767541639,1.56699074360285,5.17,0.456,28.16324,35.10512,38.233,0,1.2632398458764,94
"11",2004-01-11,0,0,0,0,0,0,1.93018231479743,2.99399194870055,0.607383746999749,2.06051013521564,33.024,1.04962387334101,1.80683334565582,9.502,7.22,28.69612,34.82508,37.2584,0,1.2632398458764,94
"12",2004-01-12,0,0,0,0,0,0,1.93018231479743,2.99399194870055,0.607383746999749,2.06051013521564,33.024,0.721227487940149,1.46365960778737,6.687,10.651,28.69612,34.82508,37.2584,0,1.2632398458764,94
